Number of elements, Average of completed sorts in 1 second
10                , 3754200
20                , 4771006
30                , 4772426
40                , 4745883
50                , 4759872
60                , 4763359
70                , 4758392
80                , 4703917
90                , 4760205
100               , 4746234
110               , 4738118
120               , 4666381
130               , 4744835
140               , 4780776
150               , 4753818
160               , 4765462
170               , 4768408
180               , 4749422
190               , 4750794
200               , 4754578
210               , 4760553
220               , 4754031
230               , 4774759
240               , 4745591
250               , 4719873
260               , 4749001
270               , 4749288
280               , 4779075
290               , 4739798
300               , 4760810
310               , 4738412
320               , 4766032
330               , 4748909
340               , 4757952
350               , 4742160
360               , 4760459
370               , 4767707
380               , 4744926
390               , 4764302
400               , 4768640
410               , 4765337
420               , 4772466
430               , 4765688
440               , 4779106
450               , 4761480
460               , 4750994
470               , 4776178
480               , 4725735
490               , 4156775
500               , 4804182
510               , 4786137
520               , 4771041
530               , 4800713
540               , 4783183
550               , 4750021
560               , 4723033
570               , 4765652
580               , 4787296
590               , 4764879
600               , 4727655
610               , 4748159
620               , 4761899
630               , 4778854
640               , 4754629
650               , 4760558
660               , 4758196
670               , 4782936
680               , 4756894
690               , 4738245
700               , 4734454
710               , 4765978
720               , 4775113
730               , 4722450
740               , 4775088
750               , 4794977
760               , 4796759
770               , 4767597
780               , 4743854
790               , 4747076
800               , 4768802
810               , 4739267
820               , 4782674
830               , 4765117
840               , 4750533
850               , 4776656
860               , 4730993
870               , 4769659
880               , 4753782
890               , 4765356
900               , 4738050
910               , 4743709
920               , 4757214
930               , 4712845
940               , 4737231
950               , 4790743
960               , 4786095
970               , 4756787
980               , 4722998
990               , 4762172
1000              , 4768648
